index,token,entropy,surprisal,novelty,curvature,rho,route
0,Expl,0.0,0.0,0.0,0.0,0.0,cheap
1,ique,0.6674324870109558,1.8146061897277832,0.3647838830947876,0.0,0.42016080021858215,medium
2, por,0.6165419220924377,0.8175786137580872,0.30220770835876465,1.1062382459640503,0.7930429577827454,expensive
3, que,0.6548681259155273,0.4143322706222534,0.23061692714691162,0.9151905179023743,0.5940015912055969,medium
4, a,0.4891420006752014,0.3006548583507538,0.16623389720916748,0.9890464544296265,0.49306946992874146,medium
5, in,0.48269787430763245,0.76482093334198,0.28529250621795654,0.944334089756012,0.6934025287628174,expensive
6,vers,0.27892184257507324,0.20827001333236694,0.20464646816253662,1.2016440629959106,0.32570910453796387,medium
7,a,0.1912701576948166,0.10736997425556183,0.13910013437271118,1.1769698858261108,0.2582051157951355,cheap
8, de,0.5046529769897461,0.2323426753282547,0.1108694076538086,1.1055283546447754,0.4759174585342407,medium
9, f,0.5403138995170593,0.5381729006767273,0.3462388515472412,1.2074695825576782,0.722342848777771,expensive
10,(,0.4340076148509979,0.3491407632827759,0.26945924758911133,1.431067943572998,0.632370114326477,medium
11,x,0.280879944562912,0.11324727535247803,0.13463568687438965,1.0055725574493408,0.356145441532135,medium
12,)=,0.20878544449806213,0.4303000867366791,0.1344802975654602,0.8910847902297974,0.4158508777618408,medium
13,5,0.32719752192497253,0.48063093423843384,0.05891364812850952,0.7871248722076416,0.4097650647163391,medium
14,x,0.4487009048461914,0.26812422275543213,0.05454421043395996,0.43583592772483826,0.29088205099105835,cheap
15,+,0.3262282907962799,0.11539266258478165,0.10268354415893555,0.688752293586731,0.2826876640319824,cheap
16,1,0.20193366706371307,0.10497215390205383,0.08743321895599365,1.1199277639389038,0.3343348503112793,medium
17, é,0.366494745016098,0.45578500628471375,0.3187863230705261,0.8304494619369507,0.5425649285316467,medium
18, (,0.5085166096687317,0.6783611178398132,0.07060331106185913,1.4590482711791992,0.6752688884735107,expensive
19,x,0.38921836018562317,0.1058344617486,0.03577148914337158,1.2123569250106812,0.3883918523788452,medium
20,-,0.2777710258960724,0.1819125860929489,0.06337887048721313,0.8479835987091064,0.30944520235061646,medium
21,1,0.16952553391456604,0.06363058090209961,0.03452599048614502,0.8616636991500854,0.22956587374210358,cheap
22,)/,0.22715258598327637,0.27610233426094055,0.09460026025772095,0.9204582571983337,0.35736680030822754,medium
23,5,0.18548664450645447,0.1860768347978592,0.09478068351745605,1.1173830032348633,0.3597729802131653,medium
24,.,0.3743266761302948,0.15769308805465698,0.44447481632232666,1.1314704418182373,0.532438337802887,medium
