difficulty,mode,count,pass_rate,avg_pass_rate,avg_score,avg_total_time_seconds,std_total_time_seconds,avg_real_speedup_vs_expensive_percent,avg_estimated_saved_percent,avg_expensive_model_calls
easy,expensive_only,15,1.0,1.0,1.0,5.5073878377753624,6.1533398948770985,0.0,0.0,7.866666666666666
easy,cheap_only,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,2.7628376488897226,4.540278053550969,69.63106360875676,65.00000000000001,0.0
easy,adaptive_calibrated,15,1.0,1.0,1.0,3.457099906664937,4.666552517364802,42.769227677349654,51.420698860357405,1.2
easy,adaptive_guarded_v3,15,1.0,1.0,1.0,3.8458162066681933,5.634236214763514,40.64906663285496,50.97858845488598,1.6
easy,speculative_adaptive,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,3.1582931888884764,3.897560408078909,18.06464597055988,26.922144708797724,2.7333333333333334
easy,hybrid,15,1.0,1.0,1.0,3.425840633334721,6.4131001571382775,37.91310402326494,44.67082195747498,2.066666666666667
medium,expensive_only,15,1.0,1.0,1.0,12.714331097775396,17.300117710428903,0.0,0.0,15.2
medium,cheap_only,15,0.7333333333333333,0.7333333333333333,0.7333333333333333,4.085606231110998,4.751560915474797,60.521943110345354,65.0,0.0
medium,adaptive_calibrated,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,6.063167011112414,8.703414176892267,52.66992080789612,57.54053724053724,1.7333333333333334
medium,adaptive_guarded_v3,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,6.671946479999073,9.422545876728728,50.17747748939383,57.16450702075702,2.1333333333333333
medium,speculative_adaptive,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,5.722945226666828,6.670877553378388,14.35307956527579,22.745559038178126,4.066666666666666
medium,hybrid,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,5.936824337779803,8.587268048349145,52.73982794422822,56.0547497845292,2.3333333333333335
hard,expensive_only,15,0.7333333333333333,0.7333333333333333,0.7333333333333333,22.560113737777446,35.76019066919302,0.0,0.0,26.866666666666667
hard,cheap_only,15,0.6,0.6,0.6,6.675672182222156,7.765540104056681,35.81388769031468,65.0,0.0
hard,adaptive_calibrated,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,8.356477431108942,9.634968684877588,41.65792772199579,53.987819190065274,3.3333333333333335
hard,adaptive_guarded_v3,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,10.231693948886177,12.19591796563798,33.91984372141096,52.92462158775027,4.4
hard,speculative_adaptive,15,0.6,0.6,0.6,10.735721059997255,13.82695415917006,14.019746527909541,10.672671428716793,6.4
hard,hybrid,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,8.28101605333375,11.666312972865256,49.32365314860938,52.3548477917602,3.533333333333333
